"Name";"Region";"Type";"gps"
"Dourdan";"DOURDAN";"rer";"48,5339062179585,2,00879174246516"
"Marolles-en-Hurepoix";"MAROLLES-EN-HUREPOIX";"rer";"48,5648992871092,2,29062289213326"
"Bouray";"BOURAY-SUR-JUINE";"rer";"48,5335436755582,2,29040725569491"
"Lardy";"LARDY";"rer";"48,5191097438474,2,24924214086924"
"Chamarande";"CHAMARANDE";"rer";"48,5115523926776,2,21261533700407"
"Etréchy";"ETRECHY";"rer";"48,4864942480745,2,19378260126374"
"Etampes";"ETAMPES";"rer";"48,4366415065271,2,15888598887025"
"Saint-Martin d'Etampes";"ETAMPES";"rer";"48,4275036275252,2,14504402426712"
"Péreire";"PARIS-17EME";"rer";"48,8853278442702,2,29787077157827"
"Porte Maillot";"PARIS-17EME";"rer";"48,8778272245836,2,28431210544852"
"Dourdan-la-Forêt";"DOURDAN";"rer";"48,5357702914,1,99407937489137"
"La Borne-Blanche";"ORRY-LA-VILLE";"rer";"49,2236008510486,2,45046260715661"
"Orry-la-Ville Coye";"ORRY-LA-VILLE";"rer";"49,2603032230666,2,42812035322322"
"Antony";"ANTONY";"metro";"48,7547197227554,2,30131372490699"
"Orly-Ouest";"ORLY";"metro";"48,728513469933,2,35872141880901"
"Orly-Sud";"ORLY";"metro";"48,727837315206,2,36795987285204"
"Cergy-Saint-Christophe";"CERGY";"rer";"49,0494168619673,2,0352767846811"
"Cergy-Préfecture";"CERGY";"rer";"49,0361773428599,2,08010158941742"
"Conflans-Fin d'Oise";"CONFLANS-SAINTE-HONORINE";"rer";"48,9909006634736,2,07427729032501"
"Achères-Ville";"ACHERES";"rer";"48,9698610726306,2,07744181297291"
"Saint-Germain-en-Laye";"SAINT-GERMAIN-EN-LAYE";"rer";"48,8983940002723,2,09513896553659"
"Le Vésinet-Le Pecq";"LE VESINET";"rer";"48,8984273174854,2,12186949767266"
"Le Vésinet-Centre";"LE VESINET";"rer";"48,890015499552,2,13479742151308"
"Meudon-Val-Fleury";"MEUDON";"rer";"48,8077151962393,2,24090153678085"
"Petit-Vaux";"EPINAY-SUR-ORGE";"rer";"48,6757077789363,2,33410578733925"
"Gravigny-Balizy";"LONGJUMEAU";"rer";"48,6848386538179,2,31739423038496"
"Chilly-Mazarin";"CHILLY-MAZARIN";"rer";"48,7009261526854,2,30746158948125"
"Longjumeau";"LONGJUMEAU";"rer";"48,7019108361368,2,29423449303795"
"Chantilly-Gouvieux";"CHANTILLY-GOUVIEUX";"rer";"49,3193782334461,2,38922975077281"
"Creil";"CREIL";"rer";"49,4347770523045,2,31393580521829"
"Cergy-Le-Haut";"CERGY";"rer";"49,0483679460322,2,0122203433989"
"Aeroport Charles de Gaulle 2 TGV";"ROISSY-EN-FRANCE";"rer";"49,0039640197221,2,56676571534101"
"Neuville-Université";"NEUVILLE-SUR-OISE";"rer";"49,0142571748611,2,07880346556031"
"Gare de Lyon (Banlieue)";"PARIS-12EME";"rer";"48,844757269576,2,37407229997982"
"Maisons-Alfort Alfortville";"ALFORTVILLE";"rer";"48,8018870135522,2,42733835230595"
"Le Vert de Maisons";"MAISONS-ALFORT";"rer";"48,7884908654609,2,43272881011436"
"Villeneuve-Prairie";"VILLENEUVE-SAINT-GEORGES";"rer";"48,7655609286567,2,43460374582823"
"Villeneuve-Triage";"VILLENEUVE-SAINT-GEORGES";"rer";"48,7463771639989,2,43823744787073"
"Villeneuve-Saint-Georges";"VILLENEUVE-SAINT-GEORGES";"rer";"48,7290319029829,2,44600252415843"
"Vigneux-sur-Seine";"VIGNEUX-SUR-SEINE";"rer";"48,7086528824344,2,41446472037454"
"Viry-Châtillon";"VIRY-CHATILLON";"rer";"48,6759314614252,2,38613040838146"
"Ris-Orangis";"RIS-ORANGIS";"rer";"48,6589362520444,2,41504227823399"
"Grand-Bourg";"RIS-ORANGIS";"rer";"48,648143419212,2,43551019819559"
"Evry Val de Seine";"EVRY";"rer";"48,6343399049456,2,45165006598841"
"Grigny-Centre";"GRIGNY";"rer";"48,6530328660075,2,39536151244896"
"Orangis Bois de l'Epine";"RIS-ORANGIS";"rer";"48,6360190237192,2,40790134222855"
"Evry Courcouronnes";"EVRY";"rer";"48,6254786716794,2,42870117084909"
"Le Bras-de-Fer";"EVRY";"rer";"48,6224755638136,2,45041727512397"
"Corbeil-Essonnes";"CORBEIL-ESSONNES";"rer";"48,6141088478693,2,47397427750696"
"Moulin-Galant";"CORBEIL-ESSONNES";"rer";"48,5862611263416,2,47319668644545"
"Mennecy";"MENNECY";"rer";"48,5711619643669,2,43348234369961"
"Ballancourt";"BALLANCOURT-SUR-ESSONNE";"rer";"48,5319479103424,2,37122847250279"
"La Ferté-Alais";"LA FERTE-ALAIS";"rer";"48,4805483117845,2,35024936039444"
"Boutigny";"BOUTIGNY-SUR-ESSONNE";"rer";"48,4346119341464,2,37666388316892"
"Maisse";"MAISSE";"rer";"48,3922859323458,2,39639494729961"
"Buno-Gironville";"BUNO-BONNEVAUX";"rer";"48,3701275338994,2,38919134599991"
"Boigneville";"BOIGNEVILLE";"rer";"48,3453886991857,2,3801573772106"
"Malesherbes";"MAB";"rer";"48,2885450204449,2,38733217373382"
"Montgeron Crosne";"MONTGERON";"rer";"48,7081180837642,2,4620118226238"
"Yerres";"YERRES";"rer";"48,7063860593518,2,48324802340859"
"Brunoy";"BRUNOY";"rer";"48,6988415459992,2,50595780949976"
"Boussy-Saint-Antoine";"BOUSSY-SAINT-ANTOINE";"rer";"48,6798587915697,2,53431999307748"
"Combs-la-Ville Quincy";"COMBS-LA-VILLE";"rer";"48,6656679208911,2,54860997192434"
"Lieusaint Moissy";"MOISSY-CRAMAYEL";"rer";"48,6286116151422,2,56991243413917"
"Savigny-le-Temple Nandy";"SAVIGNY-LE-TEMPLE";"rer";"48,5967709323717,2,58376983799319"
"Cesson";"CESSON";"rer";"48,5654663366538,2,59391545786497"
"Le Mee";"LE MEE-SUR-SEINE";"rer";"48,5394437585026,2,62426019875957"
"Melun";"MELUN";"rer";"48,5276872942202,2,65510809063792"
"Maisons-Alfort-Stade";"MAISONS-ALFORT";"metro";"48,8084176212199,2,43558220356511"
"Maisons-Alfort-Les Juilliottes";"MAISONS-ALFORT";"metro";"48,8031418697523,2,44499102669377"
"Saint-Denis-Porte de Paris";"SAINT-DENIS";"metro";"48,9296276098426,2,35741016429387"
"Malakoff-Rue Etienne Dolet";"CHATILLON";"metro";"48,8146679725106,2,29699896350216"
"Malakoff-Plateau de Vanves";"CHATILLON";"metro";"48,8231314021504,2,29701508470928"
"Gabriel-Péri";"ASNIERES-SUR-SEINE";"metro";"48,9162335021232,2,29492376422254"
"Igny";"IGNY";"rer";"48,7403954940248,2,23111944614299"
"Bièvres";"BIEVRES";"rer";"48,7515446316017,2,21621280097976"
"Vauboyen";"BIEVRES";"rer";"48,7580522780791,2,19229888130196"
"Jouy-en-Josas";"JOUY-EN-JOSAS";"rer";"48,7649335581513,2,16283053350761"
"Petit-Jouy-les-Loges";"JOUY-EN-JOSAS";"rer";"48,7713269012685,2,14707643683917"
"Ecole Vétérinaire de Maisons-Alfort";"MAISONS-ALFORT";"metro";"48,8151517945858,2,42075635885819"
"PUTEAUX";"PUTEAUX";"tram";"48,883158897771,2,23313695315614"
"MUSEE DE SEVRES";"SEVRES";"tram";"48,8286474193724,2,22529646290944"
"BRIMBORION";"MEUDON";"tram";"48,8218765627808,2,23169462802577"
"MEUDON SUR SEINE";"MEUDON";"tram";"48,8192457222759,2,23996824141064"
"LES MOULINEAUX";"ISSY-LES-MOULINEAUX";"tram";"48,8215464080698,2,2514379265469"
"Stade de France-Saint-Denis";"SAINT-DENIS";"rer";"48,9172647579879,2,35083618614127"
"Pyramides";"PARIS-02EME";"metro";"48,8669463020695,2,33366506577888"
"Cour Saint-Emilion";"PARIS-12EME";"metro";"48,8334843071503,2,38761298844824"
"Saint-Denis-Universite";"SAINT-DENIS";"metro";"48,9456254805762,2,36235875823436"
"Basilique de Saint-Denis";"SAINT-DENIS";"metro";"48,9366033097107,2,35941471750625"
"Bibliotheque-Francois Mitterrand";"PARIS-13EME";"metro";"48,8296059726948,2,3760926116913"
"Haussmann-Saint-Lazare";"PARIS-09EME";"rer";"48,8752166497446,2,32888212144967"
"Magenta";"PARIS-10EME";"rer";"48,8800480493462,2,35798703519401"
"Pantin";"PANTIN";"rer";"48,8976213629302,2,3998476954802"
"Noisy-le-Sec";"NOISY-LE-SEC";"rer";"48,8960560859362,2,45969724280823"
"Bondy";"BONDY";"rer";"48,8946070842178,2,47786275374485"
"Le Raincy Villemomble Montfermeil";"LE RAINCY";"rer";"48,8895492188472,2,51053086209973"
"Gagny";"GAGNY";"rer";"48,8833867214836,2,52645405715397"
"Chelles Gournay";"CHELLES";"rer";"48,8741439902277,2,58273146906461"
"Rosny-Bois-Perrier";"ROSNY-SOUS-BOIS";"rer";"48,8824701700305,2,48135920440669"
"Rosny-sous-Bois";"ROSNY-SOUS-BOIS";"rer";"48,8705298907106,2,48554939150519"
"Nogent Le-Perreux";"NOGENT-SUR-MARNE";"rer";"48,838461378563,2,49354525623519"
"Les Boullereaux Champigny";"CHAMPIGNY-SUR-MARNE";"rer";"48,8247673967045,2,51072291280567"
"Villiers-sur-Marne Plessis-Trévise";"VILLIERS-SUR-MARNE";"rer";"48,8230206978095,2,54102950116216"
"Val d'europe";"SERRIS";"rer";"48,8551968299676,2,77458654031172"
"Pontoise";"PONTOISE";"rer";"49,0468769346525,2,09598793450208"
"Saint-Ouen-l'Aumône";"SAINT-OUEN-L'AUMONE";"rer";"49,0449845704578,2,10697363473217"
"Pierrelaye";"PIERRELAYE";"rer";"49,0194817572672,2,15359629889464"
"La Tour-Maubourg";"PARIS-07EME";"metro";"48,8573850541664,2,30959864479432"
"Cluny-La Sorbonne";"PARIS-05EME";"metro";"48,8510383641319,2,34522158237992"
"Le Chênay Gagny";"GAGNY";"rer";"48,8767639325216,2,5524408586178"
"Telegraphe";"PARIS-20EME";"metro";"48,8753936350794,2,39859006331409"
"Pyrenees";"PARIS-20EME";"metro";"48,8738907818268,2,38488983901602"
"Maraichers";"PARIS-20EME";"metro";"48,852663363325,2,406230720719"
"Saint-Ouen-l'Aumone-Liesse";"SAINT-OUEN-L'AUMONE";"rer";"49,0346887205069,2,12771148252808"
"ISSY-VAL DE SEINE-RER";"ISSY-LES-MOULINEAUX";"tram";"48,8292248779476,2,26256059928596"
"PARC DE SAINT CLOUD";"SAINT-CLOUD";"tram";"48,8431590354795,2,22179291678366"
"LES MILONS";"SAINT-CLOUD";"tram";"48,851381541803,2,22069873299853"
"LES COTEAUX";"SAINT-CLOUD";"tram";"48,8567332361984,2,22035301247059"
"SURESNES-LONGCHAMP";"SURESNES";"tram";"48,867955026064,2,2213971265007"
"BELVEDERE";"SURESNES";"tram";"48,8765333524342,2,22603101382263"
"LA DEFENSE-METRO-RER-GRANDE ARCHE";"PUTEAUX";"tram";"48,8918431997672,2,23622018980375"
"JACQUES HENRI LARTIGUE";"ISSY-LES-MOULINEAUX";"tram";"48,823978424926,2,25919929247673"
"Les Yvris Noisy-le-Grand";"NOISY-LE-GRAND";"rer";"48,8232907157795,2,57922418921218"
"Emerainville Pontault-Combault";"EMERAINVILLE";"rer";"48,8058599881117,2,61763676841652"
"Roissy-en-Brie";"ROISSY-EN-BRIE";"rer";"48,7956240277061,2,6496057950778"
"Ozoir-la-Ferrière";"OZOIR-LA-FERRIERE";"rer";"48,7731890169586,2,68857976881956"
"Gretz-Armainvilliers";"GRETZ-ARMAINVILLIERS";"rer";"48,7448581605589,2,72883501709988"
"Tournan";"TOURNAN-EN-BRIE";"rer";"48,7398240544273,2,75794697449631"
"Essonnes-Robinson";"CORBEIL-ESSONNES";"rer";"48,6060572188934,2,4634754155743"
"Villabé";"VILLABE";"rer";"48,5930969498327,2,4613977962919"
"Le Plessis-Chenet-IBM";"LE COUDRAY-MONTCEAUX";"rer";"48,5731286226492,2,48003032665338"
"Coudray-Montceaux";"LE COUDRAY-MONTCEAUX";"rer";"48,5661814995388,2,49294611051104"
"Saint-Fargeau";"SAINT-FARGEAU-PONTHIERRY";"rer";"48,5646311699118,2,54281012555666"
"Ponthierry Pringy";"SAINT-FARGEAU-PONTHIERRY";"rer";"48,5352245385075,2,54381783021996"
"Boissise-le-Roi";"BOISSISE-LE-ROI";"rer";"48,5298769796674,2,57204400912349"
"Vosves";"DAMMARIE-LES-LYS";"rer";"48,5134373471338,2,61252147614399"
"PONT DU GARIGLIANO (HOPITAL G.POMPIDOU)";"PARIS-15EME";"tram";"48,8383202543145,2,26996784792393"
"BALARD";"PARIS-15EME";"tram";"48,8361404309666,2,27777872474349"
"DESNOUETTES";"PARIS-15EME";"tram";"48,8345162614247,2,28319908062496"
"PORTE DE VERSAILLES (PARC DES EXPOSITIONS)";"PARIS-15EME";"tram";"48,8326847690071,2,28774800639725"
"GEORGES BRASSENS";"PARIS-15EME";"tram";"48,8299463207137,2,29494514588145"
"BRANCION";"PARIS-15EME";"tram";"48,8284026338795,2,30162343442071"
"PORTE DE VANVES";"PARIS-14EME";"tram";"48,8273928337449,2,30630680570689"
"DIDOT";"PARIS-14EME";"tram";"48,8259114255454,2,31301162225622"
"JEAN MOULIN";"PARIS-14EME";"tram";"48,8243847176144,2,31983857598016"
"PORTE D'ORLEANS";"PARIS-14EME";"tram";"48,8230687127808,2,32545367916841"
"MONTSOURIS";"PARIS-14EME";"tram";"48,8214334687954,2,33315099897392"
"CITE UNIVERSITAIRE";"PARIS-14EME";"tram";"48,819883113479,2,34066409832008"
"STADE CHARLETY (PORTE DE GENTILLY)";"PARIS-13EME";"tram";"48,8193975596323,2,34522352962969"
"POTERNE DES PEUPLIERS";"PARIS-13EME";"tram";"48,8207407869995,2,35016441650076"
"PORTE D'ITALIE";"PARIS-13EME";"tram";"48,8189642668788,2,359874869886"
"PORTE DE CHOISY";"PARIS-13EME";"tram";"48,8198126787003,2,36431224556114"
"PORTE D'IVRY";"PARIS-13EME";"tram";"48,8217796450757,2,36966918527181"
"GARE D'AULNAY SOUS BOIS";"AULNAY-SOUS-BOIS";"tram";"48,9321981439021,2,49365082897479"
"ROUGEMONT CHANTELOUP";"SEVRAN";"tram";"48,9313881945088,2,51378072842504"
"GARE DE FREINVILLE SEVRAN";"SEVRAN";"tram";"48,9269049910635,2,51892084771207"
"GARE DE L ABBAYE";"LIVRY-GARGAN";"tram";"48,9223521174142,2,51660015398722"
"LYCEE HENRY SELLIER";"LIVRY-GARGAN";"tram";"48,9177178327741,2,51459322291342"
"GARE DE GARGAN";"LES PAVILLONS-SOUS-BOIS";"tram";"48,9082687655442,2,51705585046174"
"GARE DES PAVILLONS SOUS BOIS";"LES PAVILLONS-SOUS-BOIS";"tram";"48,9019235747827,2,51119931622517"
"GARE D'ALLEE DE LA TOUR RENDEZ VOUS";"VILLEMOMBLE";"tram";"48,8963596543891,2,50555121001663"
"GARE DES COQUETIERS";"VILLEMOMBLE";"tram";"48,8921641141772,2,49797322632302"
"LA REMISE A JORELLE";"BONDY";"tram";"48,8928339506368,2,48741232511646"
"GARE DE BONDY";"BONDY";"tram";"48,8944709373094,2,47899368061608"
"NOISY-LE-SEC RER";"NOISY-LE-SEC";"tram";"48,8953957623375,2,45947078249984"
"PETIT NOISY";"NOISY-LE-SEC";"tram";"48,9001351076272,2,46506408447551"
"PONT DE BONDY";"NOISY-LE-SEC";"tram";"48,9052705227018,2,46983463883534"
"AUGUSTE DELAUNE";"BOBIGNY";"tram";"48,906697097401,2,45943609081747"
"JEAN ROSTAND";"BOBIGNY";"tram";"48,9077721466046,2,45385567981373"
"LIBERATION";"BOBIGNY";"tram";"48,9068470064126,2,4385229269348"
"LA FERME";"BOBIGNY";"tram";"48,9098092734446,2,43730164820609"
"GASTON ROULAUD";"BOBIGNY";"tram";"48,9146950249276,2,43013887159837"
"HOPITAL AVICENNE";"BOBIGNY";"tram";"48,9155343767531,2,42544972866469"
"DRANCY-AVENIR";"BOBIGNY";"tram";"48,9177600874171,2,41703998951527"
"MAURICE LACHATRE";"BOBIGNY";"tram";"48,918786501387,2,41415064134109"
"GASTON ROULAUD";"DRANCY";"tram";"48,9148297236093,2,43027546731115"
"HOPITAL AVICENNE";"DRANCY";"tram";"48,9157588596603,2,42570918845446"
"DRANCY-AVENIR";"DRANCY";"tram";"48,9180116314394,2,41717673950521"
"MAURICE LACHATRE";"DRANCY";"tram";"48,9190560312503,2,41427377022373"
"DANTON";"LA COURNEUVE";"tram";"48,9226375542558,2,40659438088859"
"STADE GEO ANDRE";"LA COURNEUVE";"tram";"48,9245458274414,2,40114856556784"
"HOTEL DE VILLE DE LA COURNEUVE";"LA COURNEUVE";"tram";"48,9272011633846,2,39277087817477"
"COSMONAUTES";"LA COURNEUVE";"tram";"48,9316467716009,2,37764224115598"
"COSMONAUTES";"SAINT-DENIS";"tram";"48,9320153071647,2,37742428959459"
"HOPITAL DELAFONTAINE";"SAINT-DENIS";"tram";"48,9339407100428,2,3702031683557"
"CIMETIERE DE SAINT-DENIS";"SAINT-DENIS";"tram";"48,9361395617069,2,36393651779709"
"MARCHE DE SAINT-DENIS";"SAINT-DENIS";"tram";"48,9385316221225,2,35567090935926"
"THEATRE GERARD PHILIPE";"SAINT-DENIS";"tram";"48,9372427279809,2,35022756739738"
"Olympiades";"PARIS-13EME";"metro";"48,8268582996999,2,36729701204889"
"Dourdan-la Forêt";"DOURDAN";"rer";"48,5357702914,1,99407937489137"
"Les Agnettes";"ASNIERES-SUR-SEINE";"metro";"48,9229162320519,2,28582751788663"
"Asnieres-Gennevilliers Les Courtilles";"ASNIERES-SUR-SEINE";"metro";"48,9301634125573,2,28407447167184"
"Gare d'Austerlitz Grandes Lignes";"PARIS-05EME";"rer";"48,8438094564595,2,36496474913297"
"Carrefour-Pleyel";"SAINT-DENIS";"metro";"48,919455209937,2,34320024908894"
"PORTE DE VERSAILLES-PARC DES EXPOSITIONS";"PARIS-15EME";"tram";"48,8322802217355,2,28749653853884"
"PORTE D'ISSY-ELIANNE JEANNIN-GARREAU";"PARIS-15EME";"tram";"48,8318323796827,2,28086714354536"
"SUZANNE LENGLEN";"PARIS-15EME";"tram";"48,8336141577488,2,27627726552119"
"HENRI FARMAN-PORTE DE SEINE";"PARIS-15EME";"tram";"48,8349693928395,2,27268827144003"
"Acheres Grand Cormier";"ACHERES";"rer";"48,9549572412733,2,09260915344618"
"Pointe du Lac";"CRETEIL";"metro";"48,7679578710506,2,46598982922341"
"Gare de l'Est";"PARIS-10EME";"rer";"48,87683961546,2,35785631056748"
"BOBIGNY - PABLO PICASSO";"BOBIGNY";"tram";"48,906585259732,2,44979711546528"
"HOTEL DE VILLE DE BOBIGNY";"BOBIGNY";"tram";"48,9065326530679,2,44346436139444"
"ESCADRILLE NORMANDIE-NIEMEN";"BOBIGNY";"tram";"48,9132036843636,2,43512660474404"
"LA COURNEUVE - 8 MAI 1945";"LA COURNEUVE";"tram";"48,920649010897,2,41064871071161"
"LA COURNEUVE - SIX ROUTES";"LA COURNEUVE";"tram";"48,930103095549,2,38426298216103"
"BASILIQUE DE SAINT-DENIS";"SAINT-DENIS";"tram";"48,9375958835908,2,36182285037693"
"GARE DE ST-DENIS RER";"SAINT-DENIS";"tram";"48,9359355714889,2,34537787591362"
